pitcher_id,full_bbe,full_hr,full_barrels,full_hr_window_thunder,full_avg_ev,full_lbi_events,full_lbi_actual_hr_events,full_lbi_robbed_events,full_lbi_severity_sum,full_lbi_severity_mean,full_lbi_thump_mean,full_lbi_artistry_mean,appearances,games_started,role,season,pitcher_hot_dog,team_hot_dog,current_getting_cooked_plus,hot_dog_damage_allowed,adjusted_xhr_per_bbe_allowed,hot_dog_hr_capable_rate,hot_dog_hr_capable_bbe,pitcher,team,h1_bbe,h1_hr,h1_barrels,h1_hr_window_thunder,h1_avg_ev,h1_lbi_events,h1_lbi_actual_hr_events,h1_lbi_robbed_events,h1_lbi_severity_sum,h1_lbi_severity_mean,h1_lbi_thump_mean,h1_lbi_artistry_mean,h1_hr_per_bbe,h1_barrel_rate,h1_thunder_rate,h1_lbi_event_rate,h1_lbi_per_100_bbe,h2_bbe,h2_hr,h2_barrels,h2_hr_window_thunder,h2_avg_ev,h2_lbi_events,h2_lbi_actual_hr_events,h2_lbi_robbed_events,h2_lbi_severity_sum,h2_lbi_severity_mean,h2_lbi_thump_mean,h2_lbi_artistry_mean,h2_hr_per_bbe,h2_barrel_rate,h2_thunder_rate,h2_lbi_event_rate,h2_lbi_per_100_bbe,full_hr_per_bbe,full_barrel_rate,full_thunder_rate,full_lbi_event_rate,full_lbi_per_100_bbe,actual_hr_per_bbe_plus,barrel_rate_plus,thunder_rate_plus,lbi_event_rate_plus,lbi_per_bbe_plus,lbi_severity_per_event_plus,avg_ev_plus,lbi_blend_plus,season_lg_hr_per_bbe,season_lg_lbi_event_rate,season_lg_lbi_severity
424144,13,0,1,0,85.01538461538462,0.0,0.0,0.0,0.0,,,,5,0,RP,2021,,,,,,,,424144,,13,0,1.0,0.0,85.01538461538462,0.0,0.0,0.0,0.0,,,,0.0,0.07692307692307693,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,96.83065430108385,0.0,0.0,0.0,,96.24002400756308,,0.04890251642310197,0.059691896837368016,100.37046107793954
425794,594,21,37,3,87.74360269360268,25.0,21.0,4.0,2347.4771761230877,93.8990870449235,94.1137147995478,93.68445929029922,32,32,SP,2021,Adam Wainwright,STL,63.1,63.1,0.0333,0.0508,32.0,Adam Wainwright,STL,282,13,20.0,1.0,87.94787234042553,14.0,13.0,1.0,1319.4576259764433,94.24697328403167,94.47739688069029,94.01654968737304,0.04609929078014184,0.07092198581560284,0.0035460992907801418,0.04964539007092199,4.678927751689515,312,8,17.0,2.0,87.55897435897437,11.0,8.0,3.0,1028.0195501466442,93.45632274060402,93.65084669627551,93.26179878493254,0.02564102564102564,0.05448717948717949,0.00641025641025641,0.035256410256410256,3.2949344555982187,0.03535353535353535,0.06228956228956229,0.005050505050505051,0.04208754208754209,3.951981777984996,72.29389802287155,78.41000794414366,32.18185001273237,70.50796559910066,66.20633599150425,93.5525114027414,99.32845058509879,65.96197255693961,0.04890251642310197,0.059691896837368016,100.37046107793954
425844,539,30,35,6,87.80705009276438,31.0,30.0,1.0,3144.493805152849,101.43528403718867,101.36733842636673,101.5032296480106,30,29,SP,2021,Zack Greinke,HOU,94.4,94.4,0.0471,0.0709,41.0,Zack Greinke,HOU,318,13,23.0,4.0,87.35314465408804,13.0,13.0,0.0,1342.7141452117785,103.28570347782912,106.76554927716057,99.80585767849765,0.040880503144654086,0.07232704402515723,0.012578616352201259,0.040880503144654086,4.222371525823203,221,17,12.0,2.0,88.46018099547511,18.0,17.0,1.0,1801.7796599410703,100.09886999672614,97.4686305896823,102.72910940376995,0.07692307692307693,0.05429864253393665,0.00904977375565611,0.08144796380090498,8.152849140004843,0.055658627087198514,0.06493506493506493,0.011131725417439703,0.0575139146567718,5.833940269300276,113.81546627507475,81.74016272169415,70.93142451785909,96.35129339828121,97.73420813205156,101.06089276447806,99.40027498777798,97.3734772984246,0.04890251642310197,0.059691896837368016,100.37046107793954
429722,200,9,22,5,89.6165,19.0,9.0,10.0,1999.7510382315556,105.25005464376609,108.75040033446784,101.74970895306434,38,2,RP,2021,Ervin Santana,KC,129.8,129.8,0.063,0.105,21.0,Ervin Santana,KC,110,7,13.0,4.0,89.12,13.0,7.0,6.0,1403.1723853166104,107.93633733204696,111.42572765061702,104.44694701347687,0.06363636363636363,0.11818181818181818,0.03636363636363636,0.11818181818181818,12.756112593787368,90,2,9.0,1.0,90.22333333333334,6.0,2.0,4.0,596.5786529149455,99.42977548582424,102.95385781614463,95.90569315550384,0.022222222222222223,0.1,0.011111111111111112,0.06666666666666667,6.6286516990549496,0.045,0.11,0.025,0.095,9.998755191157779,92.01980448339793,138.46783565054992,159.3001575630252,159.15057995028997,167.50607236355083,104.86158329195824,101.44862780416133,166.8878179542079,0.04890251642310197,0.059691896837368016,100.37046107793954
431148,38,3,5,2,92.08947368421053,4.0,3.0,1.0,449.8760493485545,112.46901233713862,111.5069021412772,113.43112253300006,5,4,SP,2021,,,,,,,,431148,,21,3,3.0,2.0,95.50952380952381,3.0,3.0,0.0,320.21924936893345,106.73974978964448,120.54174956886023,92.93775001042877,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.14285714285714285,15.248535684234927,17,0,2.0,0.0,87.86470588235295,1.0,0.0,1.0,129.65679997962104,129.65679997962104,84.4023598585281,174.91124010071397,0.0,0.11764705882352941,0.0,0.058823529411764705,7.626870587036532,0.07894736842105263,0.13157894736842105,0.05263157894736842,0.10526315789473684,11.838843403909328,161.4382534796455,165.6313823571171,335.3687527642636,176.34413290890853,198.33250459714048,112.05389626516146,104.24810989572886,197.6004717594468,0.04890251642310197,0.059691896837368016,100.37046107793954
433589,263,12,22,2,85.51596958174905,13.0,12.0,1.0,1358.252984580628,104.48099881389446,107.11418842804336,101.84780919974557,78,0,RP,2021,Yusmeiro Petit,ATH,83.9,83.9,0.0487,0.0646,17.0,Yusmeiro Petit,ATH,139,4,10.0,0.0,85.4884892086331,5.0,4.0,1.0,492.4619656022979,98.49239312045958,97.81865140568262,99.16613483523655,0.02877697841726619,0.07194244604316546,0.0,0.03597122302158273,3.5428918388654522,124,8,12.0,2.0,85.54677419354839,8.0,8.0,0.0,865.7910189783302,108.22387737229127,112.92389906701882,103.5238556775637,0.06451612903225806,0.0967741935483871,0.016129032258064516,0.06451612903225806,6.982185636922018,0.045627376425855515,0.08365019011406843,0.0076045627376425855,0.049429657794676805,5.164460017416836,93.30271683994721,105.29873433501893,48.45632169217497,82.80798636597038,86.51861125283939,104.09536599892971,96.80670154950084,86.19927648400068,0.04890251642310197,0.059691896837368016,100.37046107793954
444482,7,1,1,0,96.74285714285715,2.0,1.0,1.0,189.14376329337773,94.57188164668887,96.47329498310074,92.67046831027699,1,0,RP,2021,,,,,,,,444482,,7,1,1.0,0.0,96.74285714285715,2.0,1.0,1.0,189.14376329337773,94.57188164668887,96.47329498310074,92.67046831027699,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,27.020537613339677,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,27.020537613339677,292.1263634393585,179.82835798772714,0.0,478.6483607527518,452.6667612349088,94.22282276182037,109.51588275593073,450.99599660442385,0.04890251642310197,0.059691896837368016,100.37046107793954
445213,109,7,8,4,91.72844036697248,8.0,7.0,1.0,806.4532101031485,100.80665126289357,117.46670007777853,84.14660244800862,29,1,RP,2021,Brandon Kintzler,PHI,127.3,127.3,0.0592,0.072,9.0,Brandon Kintzler,PHI,68,5,6.0,3.0,94.18970588235294,6.0,5.0,1.0,615.1532431418432,102.52554052364053,120.29676299598036,84.7543180513007,0.07352941176470588,0.08823529411764706,0.04411764705882353,0.08823529411764706,9.046371222674164,41,2,2.0,1.0,87.64634146341463,2.0,2.0,0.0,191.29996696130544,95.64998348065272,108.97651132317303,82.3234556381324,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.04878048780487805,4.665852852714767,0.06422018348623854,0.07339449541284404,0.03669724770642202,0.07339449541284404,7.398653303698611,131.32286062870247,92.3888811680066,233.83509367049575,122.95554221171606,123.94736464576452,100.43458023433341,103.83940910262284,123.48988269518566,0.04890251642310197,0.059691896837368016,100.37046107793954
445276,153,4,7,1,83.31437908496733,4.0,4.0,0.0,373.5746042893993,93.39365107234983,93.1869603477898,93.60034179690985,69,0,RP,2021,,,,,,,,445276,,68,1,3.0,0.0,84.6779411764706,1.0,1.0,0.0,98.53263437531993,98.53263437531993,78.14462415601002,118.92064459462985,0.014705882352941176,0.04411764705882353,0.0,0.014705882352941176,1.4490093290488224,85,3,4.0,1.0,82.2235294117647,3.0,3.0,0.0,275.04196991407935,91.68065663802645,98.2010724117164,85.1602408643365,0.03529411764705882,0.047058823529411764,0.011764705882352941,0.03529411764705882,3.23578788134211,0.026143790849673203,0.0457516339869281,0.006535947712418301,0.026143790849673203,2.4416640803228713,53.46103383203947,57.5920885058734,41.64710001647718,43.79788921920605,40.90444783443962,93.04894096264827,94.31443355325922,40.75347208246513,0.04890251642310197,0.059691896837368016,100.37046107793954
445926,86,0,5,0,90.88720930232559,3.0,0.0,3.0,265.09324819595525,88.36441606531842,71.25925727846068,105.46957485217615,30,4,RP,2021,,,,,,,,445926,,8,0,1.0,0.0,89.775,1.0,0.0,1.0,87.67293459898661,87.67293459898661,62.02083248483808,113.32503671313513,0.0,0.125,0.0,0.125,10.959116824873327,78,0,4.0,0.0,91.00128205128206,2.0,0.0,2.0,177.42031359696864,88.71015679848432,75.87846967527197,101.54184392169665,0.0,0.05128205128205128,0.0,0.02564102564102564,2.2746194050893416,0.0,0.05813953488372093,0.0,0.03488372093023256,3.082479630185526,0.0,73.18595964616802,0.0,58.43962544074295,51.63983377147178,88.03826854666116,102.88710972500085,51.44923438318419,0.04890251642310197,0.059691896837368016,100.37046107793954
