kind,target,scenario,split,exclude_2020,model,bucket,n,avg_score,future_value
top_bottom,era,season_to_next,all,True,EDF_z,middle,1218,-0.10757918725110154,4.055330107694709
top_bottom,era,season_to_next,all,True,EDF_z,top20,407,-4.529256622156104,3.4068627042521102
top_bottom,era,season_to_next,all,True,ERA,bottom20,407,5.564036660833009,4.35342170160296
top_bottom,era,season_to_next,all,True,ERA,middle,1218,3.8181712153186838,4.01195328166495
top_bottom,era,season_to_next,all,True,ERA,top20,407,2.3706543743652917,3.602411105698977
top_bottom,era,season_to_next,all,True,ERA_reg,bottom20,407,4.569403625232866,4.341806035912256
top_bottom,era,season_to_next,all,True,ERA_reg,middle,1218,3.8386448286663386,4.010952223628853
top_bottom,era,season_to_next,all,True,ERA_reg,top20,407,3.214019017727514,3.6496390749945973
top_bottom,era,season_to_next,all,True,HR9,bottom20,407,1.738972725565153,4.302059438884828
top_bottom,era,season_to_next,all,True,HR9,middle,1218,1.0716774580025434,4.0023240612971165
top_bottom,era,season_to_next,all,True,HR9,top20,407,0.5032194840233604,3.6760996879408374
top_bottom,era,season_to_next,all,True,HR9_reg,bottom20,407,1.232560095484022,4.482409236287304
top_bottom,era,season_to_next,all,True,HR9_reg,middle,1218,1.0446848365150434,4.01420722264779
top_bottom,era,season_to_next,all,True,HR9_reg,top20,407,0.8526834217144943,3.4322284508080014
top_bottom,era,season_to_next,all,True,KBB,bottom20,407,0.07580745379694545,4.516951534915102
top_bottom,era,season_to_next,all,True,KBB,middle,1218,0.14991588848797155,4.055415930524797
top_bottom,era,season_to_next,all,True,KBB,top20,407,0.24109196560462565,3.4074550017680187
top_bottom,era,season_to_next,all,True,KBB_best_plus_pWHIP_plus_HR9_reg,bottom20,407,0.11500316012819184,4.505052228818812
top_bottom,era,season_to_next,all,True,KBB_best_plus_pWHIP_plus_HR9_reg,middle,1218,0.14497551479974438,4.053146704402106
top_bottom,era,season_to_next,all,True,KBB_best_plus_pWHIP_plus_HR9_reg,top20,407,0.17721449165138112,3.4965877157767964
top_bottom,era,season_to_next,all,True,KBB_best_plus_pWHIP_plus_HR9_reg_plus_ERA_reg,bottom20,407,0.11500316012819184,4.505052228818812
top_bottom,era,season_to_next,all,True,KBB_best_plus_pWHIP_plus_HR9_reg_plus_ERA_reg,middle,1218,0.14497551479974438,4.053146704402106
top_bottom,era,season_to_next,all,True,KBB_best_plus_pWHIP_plus_HR9_reg_plus_ERA_reg,top20,407,0.17721449165138112,3.4965877157767964
top_bottom,era,season_to_next,all,True,KBB_reg_best,bottom20,407,0.1164298970195608,4.597266514806378
top_bottom,era,season_to_next,all,True,KBB_reg_best,middle,1218,0.14668969768556517,4.0233039490142355
top_bottom,era,season_to_next,all,True,KBB_reg_best,top20,407,0.17999679436083188,3.4454390255156184
top_bottom,era,season_to_next,all,True,WAI,bottom20,407,1.4836576525297716,4.40280300828368
top_bottom,era,season_to_next,all,True,WAI,middle,1218,1.2606011468931135,4.080252500306917
top_bottom,era,season_to_next,all,True,WAI,top20,407,1.0322902871111739,3.4681156498245898
top_bottom,era,season_to_next,all,True,WHIP,bottom20,407,1.5442485989944643,4.291384139150944
top_bottom,era,season_to_next,all,True,WHIP,middle,1218,1.2531338805444021,4.076432857095502
top_bottom,era,season_to_next,all,True,WHIP,top20,407,0.9803871776864038,3.5360984182776805
top_bottom,era,season_to_next,all,True,WHIP_reg,bottom20,407,1.356031789407627,4.354273136669534
top_bottom,era,season_to_next,all,True,WHIP_reg,middle,1218,1.2535457638785141,4.059443628443336
top_bottom,era,season_to_next,all,True,WHIP_reg,top20,407,1.151908119348202,3.56343456385058
top_bottom,era,season_to_next,all,True,pWHIP,bottom20,407,1.4328478237615472,4.3716300178291645
top_bottom,era,season_to_next,all,True,pWHIP,middle,1218,1.2607370723009041,4.079697216841676
top_bottom,era,season_to_next,all,True,pWHIP,top20,407,1.0916698453034615,3.476499958392278
top_bottom,era,season_to_next,all,True,xWHIP_lgBABIP,bottom20,407,1.4808804637375421,4.3943267265378605
top_bottom,era,season_to_next,all,True,xWHIP_lgBABIP,middle,1218,1.2637719986984728,4.072283366575366
top_bottom,era,season_to_next,all,True,xWHIP_lgBABIP,top20,407,1.0506842407193908,3.465326347846285
top_bottom,era,season_to_next,reliever,False,CCR,bottom20,304,2.1776189200857097,4.033866698748797
top_bottom,era,season_to_next,reliever,False,CCR,middle,912,2.8357092516148517,3.9228188589572057
top_bottom,era,season_to_next,reliever,False,CCR,top20,304,3.867846264807547,3.557515694566048
top_bottom,era,season_to_next,reliever,False,EDF,bottom20,304,4.262584013140539,4.276460980759272
top_bottom,era,season_to_next,reliever,False,EDF,middle,912,3.8442058763713947,3.9034356226445084
top_bottom,era,season_to_next,reliever,False,EDF,top20,304,3.362208765374294,3.3733959430429086
top_bottom,era,season_to_next,reliever,False,EDF_z,bottom20,304,3.869870604822951,4.27624503842168
top_bottom,era,season_to_next,reliever,False,EDF_z,middle,912,-0.0678366382019631,3.9139180862631386
top_bottom,era,season_to_next,reliever,False,EDF_z,top20,304,-4.289210548947318,3.348392507688007
top_bottom,era,season_to_next,reliever,False,ERA,bottom20,304,5.692068036589468,4.1512688465595335
top_bottom,era,season_to_next,reliever,False,ERA,middle,912,3.617338007686061,3.840402723925581
top_bottom,era,season_to_next,reliever,False,ERA,top20,304,2.120787638377829,3.6829043056677824
top_bottom,era,season_to_next,reliever,False,ERA_reg,bottom20,304,4.108371328540814,4.12397786908588
top_bottom,era,season_to_next,reliever,False,ERA_reg,middle,912,3.59998623190809,3.8467482420245522
top_bottom,era,season_to_next,reliever,False,ERA_reg,top20,304,3.1698211548184814,3.6901074707067694
