target,scenario,split,exclude_2020,model,features,n,periods,weighted_rmse,rmse,weighted_mae,mae,pearson,spearman,oos_r2
kbb,season_to_next,all,False,raw_KBB_ratio,kbb_ratio,2248,9,1.2140927306610632,1.3129933994998577,0.8554916518951705,0.903261178007803,0.4550578773187562,0.47603593215144485,0.23061705348930672
kbb,season_to_next,all,False,K_pct,k_pct,2248,9,1.2953565483153027,1.4147318262156532,0.9304225634384216,1.0042777979383974,0.30936117530129986,0.32667050363100836,0.1241746968206977
kbb,season_to_next,all,False,BB_pct,bb_pct,2248,9,1.3203160766744513,1.4060591501303408,0.9361651143456808,0.9655869252600261,0.3002576720464051,0.33260068300459905,0.090097912931566
kbb,season_to_next,all,False,KBB,kbb,2248,9,1.2277811388546214,1.345609473859708,0.879435094297071,0.9480620127098148,0.41794625376481154,0.44241947328530046,0.2131702843922071
kbb,season_to_next,all,False,KBB_reg_direct,KBB_reg_direct,2248,9,1.211076508538747,1.3263407811791432,0.8612754447748642,0.922179540293196,0.43460119709998624,0.45478512183841874,0.23443512633598773
kbb,season_to_next,all,False,KBB_reg_component,KBB_reg_component,2248,9,1.1939881474722653,1.303046110098638,0.8474356287411916,0.8973243648660925,0.4621027422906911,0.48694434721999225,0.25588703831098536
kbb,season_to_next,all,False,CCR,CCR,2248,9,1.2134343267474277,1.313897219650165,0.8564387759847709,0.8928353653959831,0.4480296701280914,0.4538468434761546,0.23145130177191298
kbb,season_to_next,all,False,CCR_floor,CCR_floor,2248,9,1.2131392892246653,1.313793969097116,0.8555742898854946,0.8924453362924379,0.4480969873121657,0.45370012193831655,0.23182499012517144
kbb,season_to_next,all,False,CSS,CSS,2248,9,1.194798498628461,1.3003859643864986,0.848071051063143,0.8898829003051231,0.46470747560117465,0.4861130998168477,0.25487664733925475
kbb,season_to_next,starter,False,raw_KBB_ratio,kbb_ratio,812,9,1.0746454042640035,1.093822392157342,0.788056186112219,0.7974265417201327,0.595952842887409,0.5804215373516668,0.3452823661084228
kbb,season_to_next,starter,False,K_pct,k_pct,812,9,1.159131596989965,1.1899404776495823,0.8625587766026358,0.8846331671979841,0.4857887786560041,0.4858383942963942,0.2382908796300487
kbb,season_to_next,starter,False,BB_pct,bb_pct,812,9,1.241534950972633,1.266737501527467,0.9133693484342641,0.9222532533365649,0.3920333427252623,0.4033101872392083,0.12614059084523832
kbb,season_to_next,starter,False,KBB,kbb,812,9,1.0762770198595448,1.1067109135351347,0.8000949889102749,0.8153924736067159,0.5818900146127715,0.584443209136402,0.34329276386608853
kbb,season_to_next,starter,False,KBB_reg_direct,KBB_reg_direct,812,9,1.080420579357893,1.116109483247113,0.7959441450869064,0.8113205624871359,0.5716452452667453,0.5822355786968891,0.3382265152174385
kbb,season_to_next,starter,False,KBB_reg_component,KBB_reg_component,812,9,1.0641804882458943,1.099364374465644,0.7857278192234975,0.7978679742998878,0.589946197202855,0.5963036095069453,0.3579715837725037
kbb,season_to_next,starter,False,CCR,CCR,812,9,1.1061180051107347,1.1353777301815227,0.8155405022690835,0.8253764498632006,0.5575183628377911,0.5363901383232476,0.30637204166376564
kbb,season_to_next,starter,False,CCR_floor,CCR_floor,812,9,1.1058857607036423,1.1352271244749288,0.8152081384372555,0.8251094301595541,0.5577020554994989,0.5364636441944016,0.30666328419222066
kbb,season_to_next,starter,False,CSS,CSS,812,9,1.0736795373454595,1.1078244783526194,0.7986297353867381,0.8096700686220334,0.5835170462596434,0.5822065753130583,0.3464587279503868
kbb,season_to_next,reliever,False,raw_KBB_ratio,kbb_ratio,1520,9,1.4334543049254318,1.5428603002412828,0.9449656310366787,0.9934523677900791,0.34388741692280705,0.37838142553546333,0.1224216868656115
kbb,season_to_next,reliever,False,K_pct,k_pct,1520,9,1.504039526536224,1.6166197460317493,0.9833062987748136,1.0487777088689259,0.18844857009312357,0.23620243703179686,0.03386753626379657
kbb,season_to_next,reliever,False,BB_pct,bb_pct,1520,9,1.4826865470083066,1.5893156953610248,0.9650453277378814,1.0156275091642235,0.24355895972116764,0.2709063966597827,0.06110533790521777
kbb,season_to_next,reliever,False,KBB,kbb,1520,9,1.4619325729772994,1.5734933503013477,0.9577202550139178,1.0167865063983161,0.2873244797182762,0.3430977681014422,0.08720582260876486
kbb,season_to_next,reliever,False,KBB_reg_direct,KBB_reg_direct,1520,9,1.4617762264937033,1.5718963319618955,0.9544303805178281,1.013807051618652,0.28988080286609147,0.3460566507893247,0.0874010498461063
kbb,season_to_next,reliever,False,KBB_reg_component,KBB_reg_component,1520,9,1.4426964791474424,1.5509205836191418,0.9428799288130036,0.9965850979488622,0.32660002023650786,0.3816921177288635,0.11106886097741886
kbb,season_to_next,reliever,False,CCR,CCR,1520,9,1.4415527876667558,1.5461757807906258,0.9442242118592211,0.9908912993927642,0.33311445816316,0.3534137443127789,0.11247769507064542
