target,scenario,split,exclude_2020,model,features,n,periods,weighted_rmse,rmse,weighted_mae,mae,pearson,spearman,oos_r2
kbb,season_to_next,all,False,raw_KBB_ratio,kbb_ratio,2248,9,1.2140927306610632,1.3129933994998577,0.8554916518951705,0.903261178007803,0.4550578773187562,0.47603593215144485,0.23061705348930672
kbb,season_to_next,all,False,K_pct,k_pct,2248,9,1.2953565483153027,1.4147318262156532,0.9304225634384216,1.0042777979383974,0.30936117530129986,0.32667050363100836,0.1241746968206977
kbb,season_to_next,all,False,BB_pct,bb_pct,2248,9,1.3203160766744513,1.4060591501303408,0.9361651143456808,0.9655869252600261,0.3002576720464051,0.33260068300459905,0.090097912931566
kbb,season_to_next,all,False,KBB,kbb,2248,9,1.2277811388546214,1.345609473859708,0.879435094297071,0.9480620127098148,0.41794625376481154,0.44241947328530046,0.2131702843922071
kbb,season_to_next,all,False,KBB_reg_direct,KBB_reg_direct,2248,9,1.211076508538747,1.3263407811791432,0.8612754447748642,0.922179540293196,0.43460119709998624,0.45478512183841874,0.23443512633598773
kbb,season_to_next,all,False,KBB_reg_component,KBB_reg_component,2248,9,1.1939881474722653,1.303046110098638,0.8474356287411916,0.8973243648660925,0.4621027422906911,0.48694434721999225,0.25588703831098536
kbb,season_to_next,all,False,CCR,CCR,2248,9,1.2134343267474277,1.313897219650165,0.8564387759847709,0.8928353653959831,0.4480296701280914,0.4538468434761546,0.23145130177191298
kbb,season_to_next,all,False,CCR_floor,CCR_floor,2248,9,1.2131392892246653,1.313793969097116,0.8555742898854946,0.8924453362924379,0.4480969873121657,0.45370012193831655,0.23182499012517144
kbb,season_to_next,all,False,CSS,CSS,2248,9,1.194798498628461,1.3003859643864986,0.848071051063143,0.8898829003051231,0.46470747560117465,0.4861130998168477,0.25487664733925475
whip,season_to_next,all,False,WHIP,whip,2248,9,0.18972797650163864,0.21007897915777096,0.14822950728718762,0.16380379755917146,0.26933667135800043,0.27965696267814216,0.08190853013554356
whip,season_to_next,all,False,WHIP_reg,WHIP_reg,2248,9,0.18773776547788845,0.20816723526691672,0.14717457661296837,0.16275517515991866,0.2923834133579383,0.2906630289001955,0.10106872281316892
whip,season_to_next,all,False,xWHIP_lgBABIP,xwhip_lgbabip,2248,9,0.1869242507674737,0.20736926954649681,0.14502642589598794,0.1608865544143656,0.3150018166397629,0.32678294961712423,0.10884243180820208
whip,season_to_next,all,False,pWHIP,pWHIP,2248,9,0.18660557407492526,0.20714176839174936,0.14476918490354984,0.1606796482344611,0.3157977817076301,0.3237015725671055,0.11187841098052409
whip,season_to_next,all,False,KBB,kbb,2248,9,0.17950286185238631,0.20203525278227358,0.1396122639016539,0.15702021710921954,0.37996699165332876,0.3669552599492277,0.17820034123129247
whip,season_to_next,all,False,KBB_reg_direct,KBB_reg_direct,2248,9,0.1778903833845714,0.2002021123095762,0.13833664235151674,0.1555574526245347,0.3938547200850451,0.3794214408538679,0.19289851801555957
whip,season_to_next,all,False,KBB_reg_component,KBB_reg_component,2248,9,0.1795982858863477,0.20129802359153462,0.13897222606068452,0.15581725892019638,0.3796769995167973,0.3713922235943166,0.17732636873087204
whip,season_to_next,all,False,CCR,CCR,2248,9,0.1883001128206043,0.20808553312193773,0.14719843472016114,0.162292380880013,0.2939467279986891,0.29340184347480003,0.09567536239588759
whip,season_to_next,all,False,WSI_raw,wsi_raw,2248,9,0.1808323489773216,0.20337220219261348,0.14041565831431227,0.15780760903124666,0.3686927980756294,0.3608979344446591,0.16598194962132184
whip,season_to_next,all,False,WSI_xWHIP_lgBABIP,wsi_xlgbabip,2248,9,0.1801180510445635,0.20250053701230486,0.13986266181187285,0.15718778145884707,0.37666718711364056,0.36745145452906935,0.1725577727481058
whip,season_to_next,all,False,WSI_reg_tuned,WSI_reg_tuned,2248,9,0.17988166291881885,0.20147231718712344,0.1393367144739703,0.15597005979986578,0.3772726869287217,0.36483499004095016,0.17472822889493256
whip,season_to_next,all,False,WAI,WAI,2248,9,0.18383474407686543,0.20490796199085945,0.14230991709837604,0.15867432148203234,0.3423339718914479,0.34369589714960214,0.1380573072278054
whip,season_to_next,all,False,xWAI_ratio,xWAI_ratio,2248,9,0.18030840024113404,0.20187124766792122,0.1395588960034004,0.15625373366334974,0.3749284473815532,0.3630707600763023,0.17080796269841625
whip,season_to_next,all,False,KBB_best_plus_pWHIP,KBB_reg_component+pWHIP,2248,9,0.179846135841591,0.20140805525195915,0.13923621896987567,0.15596754929552178,0.37853983513775613,0.3700030994157029,0.17505418317102395
whip,season_to_next,all,False,KBB_best_plus_pWHIP_plus_logTBF,KBB_reg_component+pWHIP+log_current_tbf,2248,9,0.17967791021054072,0.20126818589131634,0.13931225354377072,0.15606249134289776,0.3807465831358977,0.3713769857486542,0.17659674759583233
