captureDate,capturedAtUtc,slateDate,source,sourceUrl,draftGroupId,contestTypeId,selectionReason,position,namePlusId,dkName,dkPlayerId,rosterPosition,salary,gameInfo,gameDateTimeEt,teamAbbrev,opponent,homeAway,avgPointsPerGame,mlbamId,mlbName,joinStatus,joinMethod,joinNote
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Tarik Skubal (43264294),Tarik Skubal,43264294,P,10700,MIN@DET 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,DET,MIN,home,21.19,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Jacob deGrom (43264295),Jacob deGrom,43264295,P,9800,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,TEX,KC,away,19.62,594798,Jacob deGrom,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Joe Ryan (43264296),Joe Ryan,43264296,P,9500,MIN@DET 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,MIN,DET,away,18.22,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Nolan McLean (43264297),Nolan McLean,43264297,P,9300,STL@NYM 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,NYM,STL,home,17.07,690997,Nolan McLean,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Freddy Peralta (43264298),Freddy Peralta,43264298,P,9300,STL@NYM 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,NYM,STL,home,15.71,642547,Freddy Peralta,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,RP,Clay Holmes (43264299),Clay Holmes,43264299,P,9300,STL@NYM 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,NYM,STL,home,17.9,605280,Clay Holmes,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Max Meyer (43264300),Max Meyer,43264300,P,9200,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,MIA,ARI,home,19.22,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Corbin Burnes (43264301),Corbin Burnes,43264301,P,9000,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,ARI,MIA,away,0,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Michael Wacha (43264052),Michael Wacha,43264052,P,9000,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,KC,TEX,home,16.40,608379,Michael Wacha,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Cole Ragans (43264302),Cole Ragans,43264302,P,9000,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,KC,TEX,home,13.19,666142,Cole Ragans,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Nathan Eovaldi (43264303),Nathan Eovaldi,43264303,P,8800,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,TEX,KC,away,16.78,543135,Nathan Eovaldi,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Zebby Matthews (43264053),Zebby Matthews,43264053,P,8500,MIN@DET 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,MIN,DET,away,15.85,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Pablo Lopez (43264304),Pablo Lopez,43264304,P,8500,MIN@DET 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,MIN,DET,away,0,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Taj Bradley (43264305),Taj Bradley,43264305,P,8500,MIN@DET 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,MIN,DET,away,16.59,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Christian Scott (43264054),Christian Scott,43264054,P,8300,STL@NYM 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,NYM,STL,home,14.98,681035,Christian Scott,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Kodai Senga (43264306),Kodai Senga,43264306,P,8300,STL@NYM 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,NYM,STL,home,5.4,673540,Kodai Senga,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Tylor Megill (43264307),Tylor Megill,43264307,P,8300,STL@NYM 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,NYM,STL,home,0,656731,Tylor Megill,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched_people_search_name via mlb_people_search_normalized_name
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Sandy Alcantara (43264308),Sandy Alcantara,43264308,P,8200,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,MIA,ARI,home,13.86,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Eury Perez (43264309),Eury Perez,43264309,P,8200,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,MIA,ARI,home,15.22,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Michael Soroka (43264310),Michael Soroka,43264310,P,8000,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,ARI,MIA,away,18.08,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Eduardo Rodriguez (43264311),Eduardo Rodriguez,43264311,P,8000,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,ARI,MIA,away,16.25,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Kris Bubic (43264312),Kris Bubic,43264312,P,8000,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,KC,TEX,home,15.94,663460,Kris Bubic,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Noah Cameron (43264313),Noah Cameron,43264313,P,8000,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,KC,TEX,home,15.25,702070,Noah Cameron,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,RP,Seth Lugo (43264314),Seth Lugo,43264314,P,8000,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,KC,TEX,home,13.74,607625,Seth Lugo,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,RP,Stephen Kolek (43264315),Stephen Kolek,43264315,P,8000,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,KC,TEX,home,16.51,663568,Stephen Kolek,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Jack Leiter (43264316),Jack Leiter,43264316,P,7800,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,TEX,KC,away,14.60,683004,Jack Leiter,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,RP,Jacob Latz (43264317),Jacob Latz,43264317,P,7800,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,TEX,KC,away,4.54,656641,Jacob Latz,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,MacKenzie Gore (43264318),MacKenzie Gore,43264318,P,7800,TEX@KC 06/11/2026 02:10PM ET,06/11/2026 02:10PM ET,TEX,KC,away,14.64,669022,MacKenzie Gore,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Keider Montero (43264055),Keider Montero,43264055,P,7700,MIN@DET 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,DET,MIN,home,12.04,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Casey Mize (43264319),Casey Mize,43264319,P,7700,MIN@DET 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,DET,MIN,home,17.89,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,RP,Drew Anderson (43264320),Drew Anderson,43264320,P,7700,MIN@DET 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,DET,MIN,home,5.82,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Troy Melton (43264321),Troy Melton,43264321,P,7700,MIN@DET 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,DET,MIN,home,16.39,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Mick Abel (43264326),Mick Abel,43264326,P,7500,MIN@DET 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,MIN,DET,away,14.19,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Edward Cabrera (43264056),Edward Cabrera,43264056,P,7500,CHC@COL 06/11/2026 03:10PM ET,06/11/2026 03:10PM ET,CHC,COL,away,12.18,665795,Edward Cabrera,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,RP,Ben Brown (43264322),Ben Brown,43264322,P,7500,CHC@COL 06/11/2026 03:10PM ET,06/11/2026 03:10PM ET,CHC,COL,away,11.06,676962,Ben Brown,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Shota Imanaga (43264323),Shota Imanaga,43264323,P,7500,CHC@COL 06/11/2026 03:10PM ET,06/11/2026 03:10PM ET,CHC,COL,away,15.54,684007,Shota Imanaga,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Justin Steele (43264324),Justin Steele,43264324,P,7500,CHC@COL 06/11/2026 03:10PM ET,06/11/2026 03:10PM ET,CHC,COL,away,0,657006,Justin Steele,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched_people_search_name via mlb_people_search_normalized_name
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Matthew Boyd (43264325),Matthew Boyd,43264325,P,7500,CHC@COL 06/11/2026 03:10PM ET,06/11/2026 03:10PM ET,CHC,COL,away,14.68,571510,Matthew Boyd,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Robby Snelling (43264327),Robby Snelling,43264327,P,7200,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,MIA,ARI,home,3.85,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Merrill Kelly (43264057),Merrill Kelly,43264057,P,7000,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,ARI,MIA,away,10.04,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Yilber Diaz (43264328),Yilber Diaz,43264328,P,7000,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,ARI,MIA,away,0,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,RP,Thomas Hatch (43264329),Thomas Hatch,43264329,P,7000,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,ARI,MIA,away,0,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Brandon Pfaadt (43264330),Brandon Pfaadt,43264330,P,7000,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,ARI,MIA,away,4.42,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Ryne Nelson (43264331),Ryne Nelson,43264331,P,7000,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,ARI,MIA,away,11.89,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-06-10,2026-06-11T00:21:17.924943+00:00,2026-06-11,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149174,149174,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Zac Gallen (43264332),Zac Gallen,43264332,P,7000,ARI@MIA 06/11/2026 01:10PM ET,06/11/2026 01:10PM ET,ARI,MIA,away,7.91,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
