slateDate,draftGroupId,contestTypeId,dkPlayerId,dkName,position,rosterPosition,teamAbbrev,salary,gameInfo,reviewReason,mapAliasName,mapTeamAbbrev,mapMlbamId,mapMlbName,mapMatchedTeams
2026-09-12,153382,9,44116117,Cam Schlittler,SP,P,NYY,11800,NYM@NYY 09/12/2026 01:35PM ET,new_player,,,,,
2026-09-12,153382,9,44115651,Tyler Glasnow,SP,P,LAD,10700,LAD@MIA 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116118,Blake Snell,SP,P,LAD,10700,LAD@MIA 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116119,Yoshinobu Yamamoto,SP,P,LAD,10700,LAD@MIA 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116120,Tarik Skubal,SP,P,LAD,10700,LAD@MIA 09/12/2026 04:10PM ET,team_change_new_alias,Tarik Skubal,DET,669373,Tarik Skubal,DET
2026-09-12,153382,9,44115652,Gavin Williams,SP,P,CLE,10500,CLE@MIN 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116121,Parker Messick,SP,P,CLE,10100,CLE@MIN 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116122,Braxton Ashcraft,RP,P,PIT,9600,PIT@CHC 09/12/2026 02:20PM ET,new_player,,,,,
2026-09-12,153382,9,44115653,Gerrit Cole,SP,P,NYY,9500,NYM@NYY 09/12/2026 01:35PM ET,new_player,,,,,
2026-09-12,153382,9,44115654,Paul Skenes,SP,P,PIT,9100,PIT@CHC 09/12/2026 02:20PM ET,new_player,,,,,
2026-09-12,153382,9,44116127,Max Fried,SP,P,NYY,9100,NYM@NYY 09/12/2026 01:35PM ET,new_player,,,,,
2026-09-12,153382,9,44116128,Garrett Crochet,SP,P,BOS,9000,KC@BOS 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116129,Payton Tolle,SP,P,BOS,9000,KC@BOS 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116130,Sonny Gray,SP,P,BOS,8900,KC@BOS 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116132,Carlos Rodon,SP,P,NYY,8900,NYM@NYY 09/12/2026 01:35PM ET,new_player,,,,,
2026-09-12,153382,9,44116133,Clarke Schmidt,SP,P,NYY,8900,NYM@NYY 09/12/2026 01:35PM ET,new_player,,,,,
2026-09-12,153382,9,44116139,Jose Soriano,SP,P,TOR,8600,BAL@TOR 09/12/2026 03:07PM ET,team_change_new_alias,Jose Soriano,LAA,667755,José Soriano,LAA
2026-09-12,153382,9,44116140,Kevin Gausman,SP,P,CHC,8600,PIT@CHC 09/12/2026 02:20PM ET,team_change_new_alias,Kevin Gausman,TOR,592332,Kevin Gausman,TOR
2026-09-12,153382,9,44116141,Foster Griffin,SP,P,CLE,8500,CLE@MIN 09/12/2026 04:10PM ET,team_change_new_alias,Foster Griffin,WSH,656492,Foster Griffin,WSH
2026-09-12,153382,9,44116143,Connelly Early,SP,P,WSH,8400,LAA@WSH 09/12/2026 04:05PM ET,new_player,,,,,
2026-09-12,153382,9,44116144,Justin Wrobleski,SP,P,LAD,8300,LAD@MIA 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116145,Kris Bubic,SP,P,LAD,8300,LAD@MIA 09/12/2026 04:10PM ET,team_change_new_alias,Kris Bubic,KC,663460,Kris Bubic,KC
2026-09-12,153382,9,44116147,Will Warren,SP,P,NYY,8100,NYM@NYY 09/12/2026 01:35PM ET,new_player,,,,,
2026-09-12,153382,9,44116148,Jake Bennett,SP,P,BOS,8100,KC@BOS 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116150,Robbie Ray,SP,P,SD,8100,SD@SF 09/12/2026 04:05PM ET,team_change_new_alias,Robbie Ray,SF,592662,Robbie Ray,SF
2026-09-12,153382,9,44116152,Ryan Weathers,RP,P,NYY,8000,NYM@NYY 09/12/2026 01:35PM ET,new_player,,,,,
2026-09-12,153382,9,44116153,River Ryan,SP,P,DET,7900,COL@DET 09/12/2026 01:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116154,Reese Olson,SP,P,DET,7900,COL@DET 09/12/2026 01:10PM ET,new_player,,,,,
2026-09-12,153382,9,44115657,Clay Holmes,RP,P,CHC,7800,PIT@CHC 09/12/2026 02:20PM ET,team_change_new_alias,Clay Holmes,NYM,605280,Clay Holmes,NYM
2026-09-12,153382,9,44116158,Jared Jones,SP,P,PIT,7800,PIT@CHC 09/12/2026 02:20PM ET,new_player,,,,,
2026-09-12,153382,9,44116162,Joey Cantillo,RP,P,CLE,7700,CLE@MIN 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116166,Tanner Bibee,SP,P,CLE,7700,CLE@MIN 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116168,Slade Cecconi,SP,P,CLE,7700,CLE@MIN 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116169,Bubba Chandler,SP,P,PIT,7700,PIT@CHC 09/12/2026 02:20PM ET,new_player,,,,,
2026-09-12,153382,9,44115658,Ranger Suarez,SP,P,BOS,7600,KC@BOS 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116170,Mason Adams,SP,P,COL,7600,COL@DET 09/12/2026 01:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116173,Pablo Lopez,SP,P,MIN,7600,CLE@MIN 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116175,Anthony Molina,RP,P,SF,7500,SD@SF 09/12/2026 04:05PM ET,team_change_new_alias,Anthony Molina,ATL,683627,Anthony Molina,ATL
2026-09-12,153382,9,44116176,Trevor Rogers,SP,P,BAL,7500,BAL@TOR 09/12/2026 03:07PM ET,new_player,,,,,
2026-09-12,153382,9,44116178,Emmet Sheehan,SP,P,LAD,7400,LAD@MIA 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116179,Brandon Young,SP,P,BAL,7400,BAL@TOR 09/12/2026 03:07PM ET,new_player,,,,,
2026-09-12,153382,9,44116180,Roki Sasaki,SP,P,LAD,7400,LAD@MIA 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116181,Shane Baz,SP,P,BAL,7400,BAL@TOR 09/12/2026 03:07PM ET,new_player,,,,,
2026-09-12,153382,9,44116182,Zach Eflin,SP,P,BAL,7400,BAL@TOR 09/12/2026 03:07PM ET,new_player,,,,,
2026-09-12,153382,9,44115659,Kyle Bradish,SP,P,BAL,7300,BAL@TOR 09/12/2026 03:07PM ET,new_player,,,,,
2026-09-12,153382,9,44116189,Patrick Sandoval,SP,P,BOS,7200,KC@BOS 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116190,Casey Mize,SP,P,SD,7100,SD@SF 09/12/2026 04:05PM ET,team_change_new_alias,Casey Mize,DET,663554,Casey Mize,DET
2026-09-12,153382,9,44116192,Tanner Houck,SP,P,BOS,7100,KC@BOS 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116193,Kutter Crawford,SP,P,BOS,7100,KC@BOS 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116194,Brayan Bello,SP,P,BOS,7100,KC@BOS 09/12/2026 04:10PM ET,new_player,,,,,
2026-09-12,153382,9,44116204,Jameson Taillon,SP,P,TOR,6800,BAL@TOR 09/12/2026 03:07PM ET,team_change_new_alias,Jameson Taillon,CHC,592791,Jameson Taillon,CHC
2026-09-12,153382,9,44116205,Spencer Arrighetti,SP,P,TOR,6800,BAL@TOR 09/12/2026 03:07PM ET,team_change_new_alias,Spencer Arrighetti,HOU,681293,Spencer Arrighetti,HOU
2026-09-12,153382,9,44116206,Mitch Keller,SP,P,PIT,6800,PIT@CHC 09/12/2026 02:20PM ET,new_player,,,,,
2026-09-12,153382,9,44115668,Oneil Cruz,OF,OF,PIT,6700,PIT@CHC 09/12/2026 02:20PM ET,new_player,,,,,
