slateDate,draftGroupId,contestTypeId,dkPlayerId,dkName,position,rosterPosition,teamAbbrev,salary,gameInfo,reviewReason,mapAliasName,mapTeamAbbrev,mapMlbamId,mapMlbName,mapMatchedTeams
2026-08-08,151865,9,43785064,Tarik Skubal,SP,P,LAD,10900,LAD@ARI 08/08/2026 08:10PM ET,team_change_new_alias,Tarik Skubal,DET,669373,Tarik Skubal,DET
2026-08-08,151865,9,43785065,Tyler Glasnow,SP,P,LAD,10600,LAD@ARI 08/08/2026 08:10PM ET,new_player,,,,,
2026-08-08,151865,9,43784629,Yoshinobu Yamamoto,SP,P,LAD,10300,LAD@ARI 08/08/2026 08:10PM ET,new_player,,,,,
2026-08-08,151865,9,43785067,Logan Gilbert,SP,P,SEA,10200,TB@SEA 08/08/2026 09:50PM ET,new_player,,,,,
2026-08-08,151865,9,43784630,Gavin Williams,SP,P,CLE,9900,CLE@CWS 08/08/2026 07:15PM ET,new_player,,,,,
2026-08-08,151865,9,43785068,Drew Rasmussen,SP,P,TB,9900,TB@SEA 08/08/2026 09:50PM ET,new_player,,,,,
2026-08-08,151865,9,43785075,Bryan Woo,SP,P,SEA,9200,TB@SEA 08/08/2026 09:50PM ET,new_player,,,,,
2026-08-08,151865,9,43785077,Bryce Miller,SP,P,SEA,9200,TB@SEA 08/08/2026 09:50PM ET,new_player,,,,,
2026-08-08,151865,9,43785078,Parker Messick,SP,P,CLE,9200,CLE@CWS 08/08/2026 07:15PM ET,new_player,,,,,
2026-08-08,151865,9,43785079,Casey Mize,SP,P,SD,9000,HOU@SD 08/08/2026 07:15PM ET,team_change_new_alias,Casey Mize,DET,663554,Casey Mize,DET
2026-08-08,151865,9,43784632,George Kirby,SP,P,SEA,8900,TB@SEA 08/08/2026 09:50PM ET,new_player,,,,,
2026-08-08,151865,9,43785080,Shane McClanahan,SP,P,TB,8900,TB@SEA 08/08/2026 09:50PM ET,new_player,,,,,
2026-08-08,151865,9,43785084,Corbin Burnes,SP,P,ARI,8600,LAD@ARI 08/08/2026 08:10PM ET,new_player,,,,,
2026-08-08,151865,9,43785086,Blake Snell,SP,P,LAD,8500,LAD@ARI 08/08/2026 08:10PM ET,new_player,,,,,
2026-08-08,151865,9,43784635,Clay Holmes,RP,P,CHC,8300,CHC@KC 08/08/2026 07:10PM ET,team_change_new_alias,Clay Holmes,NYM,605280,Clay Holmes,NYM
2026-08-08,151865,9,43785089,Kevin Gausman,SP,P,CHC,8300,CHC@KC 08/08/2026 07:10PM ET,team_change_new_alias,Kevin Gausman,TOR,592332,Kevin Gausman,TOR
