slateDate,draftGroupId,contestTypeId,dkPlayerId,dkName,position,rosterPosition,teamAbbrev,salary,gameInfo,reviewReason,mapAliasName,mapTeamAbbrev,mapMlbamId,mapMlbName,mapMatchedTeams
2026-08-24,152567,9,43919119,Braxton Ashcraft,SP,P,PIT,10000,PIT@SD 08/24/2026 09:40PM ET,new_player,,,,,
2026-08-24,152567,9,43919477,Paul Skenes,SP,P,PIT,10000,PIT@SD 08/24/2026 09:40PM ET,new_player,,,,,
2026-08-24,152567,9,43919120,Logan Gilbert,SP,P,SEA,9800,PHI@SEA 08/24/2026 09:40PM ET,new_player,,,,,
2026-08-24,152567,9,43919121,Parker Messick,SP,P,CLE,9500,CLE@LAA 08/24/2026 09:38PM ET,new_player,,,,,
2026-08-24,152567,9,43919478,Gavin Williams,SP,P,CLE,9500,CLE@LAA 08/24/2026 09:38PM ET,new_player,,,,,
2026-08-24,152567,9,43919479,Foster Griffin,SP,P,CLE,9500,CLE@LAA 08/24/2026 09:38PM ET,team_change_new_alias,Foster Griffin,WSH,656492,Foster Griffin,WSH
2026-08-24,152567,9,43919484,Casey Mize,SP,P,SD,9000,PIT@SD 08/24/2026 09:40PM ET,team_change_new_alias,Casey Mize,DET,663554,Casey Mize,DET
2026-08-24,152567,9,43919485,Bryce Miller,SP,P,SEA,8800,PHI@SEA 08/24/2026 09:40PM ET,new_player,,,,,
2026-08-24,152567,9,43919486,George Kirby,SP,P,SEA,8800,PHI@SEA 08/24/2026 09:40PM ET,new_player,,,,,
2026-08-24,152567,9,43919487,Bryan Woo,SP,P,SEA,8800,PHI@SEA 08/24/2026 09:40PM ET,new_player,,,,,
2026-08-24,152567,9,43919122,Kevin Gausman,SP,P,CHC,8500,CHC@ARI 08/24/2026 09:40PM ET,team_change_new_alias,Kevin Gausman,TOR,592332,Kevin Gausman,TOR
2026-08-24,152567,9,43919494,Clay Holmes,RP,P,CHC,8500,CHC@ARI 08/24/2026 09:40PM ET,team_change_new_alias,Clay Holmes,NYM,605280,Clay Holmes,NYM
2026-08-24,152567,9,43919123,Robbie Ray,SP,P,SD,8000,PIT@SD 08/24/2026 09:40PM ET,team_change_new_alias,Robbie Ray,SF,592662,Robbie Ray,SF
