captureDate,capturedAtUtc,slateDate,source,sourceUrl,draftGroupId,contestTypeId,selectionReason,position,namePlusId,dkName,dkPlayerId,rosterPosition,salary,gameInfo,gameDateTimeEt,teamAbbrev,opponent,homeAway,avgPointsPerGame,mlbamId,mlbName,joinStatus,joinMethod,joinNote
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Chris Sale (44153118),Chris Sale,44153118,P,10700,ATL@CHC 09/16/2026 07:40PM ET,09/16/2026 07:40PM ET,ATL,CHC,away,23.7,519242,Chris Sale,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Jacob deGrom (44152771),Jacob deGrom,44152771,P,9800,BOS@TEX 09/16/2026 08:05PM ET,09/16/2026 08:05PM ET,TEX,BOS,home,19,594798,Jacob deGrom,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Payton Tolle (44153119),Payton Tolle,44153119,P,9800,BOS@TEX 09/16/2026 08:05PM ET,09/16/2026 08:05PM ET,BOS,TEX,away,19.8,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Reid Detmers (44153120),Reid Detmers,44153120,P,9600,SEA@LAA 09/16/2026 09:38PM ET,09/16/2026 09:38PM ET,LAA,SEA,home,19,672282,Reid Detmers,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Nolan McLean (44153121),Nolan McLean,44153121,P,9300,BAL@NYM 09/16/2026 07:10PM ET,09/16/2026 07:10PM ET,NYM,BAL,home,18.6,690997,Nolan McLean,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Max Meyer (44153122),Max Meyer,44153122,P,9200,MIA@ARI 09/16/2026 09:40PM ET,09/16/2026 09:40PM ET,MIA,ARI,away,19.1,676974,Max Meyer,mapped,identity_name_team_map,Proposed from review candidates; basis=exact normalized name + team; role-compatible; hot-dog-stand-latest.json|statcast_pitcher_2026; confidence=high; sources=hot-dog-stand-latest.json|statcast_pitcher_2026
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,George Kirby (44152772),George Kirby,44152772,P,9000,SEA@LAA 09/16/2026 09:38PM ET,09/16/2026 09:38PM ET,SEA,LAA,away,14.1,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Logan Gilbert (44153123),Logan Gilbert,44153123,P,9000,SEA@LAA 09/16/2026 09:38PM ET,09/16/2026 09:38PM ET,SEA,LAA,away,19.1,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Hunter Brown (44153124),Hunter Brown,44153124,P,9000,KC@HOU 09/16/2026 08:10PM ET,09/16/2026 08:10PM ET,HOU,KC,home,17.3,686613,Hunter Brown,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Michael Wacha (44153125),Michael Wacha,44153125,P,9000,KC@HOU 09/16/2026 08:10PM ET,09/16/2026 08:10PM ET,KC,HOU,away,16.3,608379,Michael Wacha,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Shota Imanaga (44152773),Shota Imanaga,44152773,P,8800,ATL@CHC 09/16/2026 07:40PM ET,09/16/2026 07:40PM ET,CHC,ATL,home,15.9,684007,Shota Imanaga,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Garrett Crochet (44153126),Garrett Crochet,44153126,P,8800,BOS@TEX 09/16/2026 08:05PM ET,09/16/2026 08:05PM ET,BOS,TEX,away,13.8,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,RP,Ben Brown (44153127),Ben Brown,44153127,P,8800,ATL@CHC 09/16/2026 07:40PM ET,09/16/2026 07:40PM ET,CHC,ATL,home,11.6,676962,Ben Brown,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-09-16,2026-09-16T17:42:43.324112+00:00,2026-09-16,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=153590,153590,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Sonny Gray (44153128),Sonny Gray,44153128,P,8800,BOS@TEX 09/16/2026 08:05PM ET,09/16/2026 08:05PM ET,BOS,TEX,away,18.2,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
