slateDate,draftGroupId,contestTypeId,dkPlayerId,dkName,position,rosterPosition,teamAbbrev,salary,gameInfo,reviewReason,mapAliasName,mapTeamAbbrev,mapMlbamId,mapMlbName,mapMatchedTeams
2026-09-16,153590,9,44153119,Payton Tolle,SP,P,BOS,9800,BOS@TEX 09/16/2026 08:05PM ET,new_player,,,,,
2026-09-16,153590,9,44152772,George Kirby,SP,P,SEA,9000,SEA@LAA 09/16/2026 09:38PM ET,new_player,,,,,
2026-09-16,153590,9,44153123,Logan Gilbert,SP,P,SEA,9000,SEA@LAA 09/16/2026 09:38PM ET,new_player,,,,,
2026-09-16,153590,9,44153126,Garrett Crochet,SP,P,BOS,8800,BOS@TEX 09/16/2026 08:05PM ET,new_player,,,,,
2026-09-16,153590,9,44153128,Sonny Gray,SP,P,BOS,8800,BOS@TEX 09/16/2026 08:05PM ET,new_player,,,,,
2026-09-16,153590,9,44153129,Kevin Gausman,SP,P,CHC,8800,ATL@CHC 09/16/2026 07:40PM ET,team_change_new_alias,Kevin Gausman,TOR,592332,Kevin Gausman,TOR
2026-09-16,153590,9,44153133,Trevor Rogers,SP,P,BAL,8500,BAL@NYM 09/16/2026 07:10PM ET,new_player,,,,,
2026-09-16,153590,9,44153134,Shane Baz,SP,P,BAL,8500,BAL@NYM 09/16/2026 07:10PM ET,new_player,,,,,
2026-09-16,153590,9,44153135,Eduardo Rodriguez,SP,P,ARI,8400,MIA@ARI 09/16/2026 09:40PM ET,new_player,,,,,
2026-09-16,153590,9,44152774,Jake Bennett,SP,P,BOS,8300,BOS@TEX 09/16/2026 08:05PM ET,new_player,,,,,
2026-09-16,153590,9,44153138,Ranger Suarez,SP,P,BOS,8300,BOS@TEX 09/16/2026 08:05PM ET,new_player,,,,,
2026-09-16,153590,9,44152775,Robbie Ray,SP,P,SD,8000,SD@COL 09/16/2026 08:40PM ET,team_change_new_alias,Robbie Ray,SF,592662,Robbie Ray,SF
2026-09-16,153590,9,44153144,Bryan Woo,SP,P,SEA,8000,SEA@LAA 09/16/2026 09:38PM ET,new_player,,,,,
2026-09-16,153590,9,44153145,Kade Anderson,SP,P,SEA,8000,SEA@LAA 09/16/2026 09:38PM ET,new_player,,,,,
2026-09-16,153590,9,44153151,Corbin Burnes,SP,P,ARI,7900,MIA@ARI 09/16/2026 09:40PM ET,new_player,,,,,
2026-09-16,153590,9,44153152,Michael Soroka,SP,P,ARI,7900,MIA@ARI 09/16/2026 09:40PM ET,new_player,,,,,
2026-09-16,153590,9,44153157,Clay Holmes,RP,P,CHC,7800,ATL@CHC 09/16/2026 07:40PM ET,team_change_new_alias,Clay Holmes,NYM,605280,Clay Holmes,NYM
