slateDate,draftGroupId,contestTypeId,dkPlayerId,dkName,position,rosterPosition,teamAbbrev,salary,gameInfo,reviewReason,mapAliasName,mapTeamAbbrev,mapMlbamId,mapMlbName,mapMatchedTeams
2026-07-19,150785,9,43631429,Garrett Crochet,SP,P,BOS,9800,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
2026-07-19,150785,9,43631035,Paul Skenes,SP,P,PIT,9500,PIT@CLE 07/19/2026 01:40PM ET,new_player,,,,,
2026-07-19,150785,9,43631431,Braxton Ashcraft,RP,P,PIT,9500,PIT@CLE 07/19/2026 01:40PM ET,new_player,,,,,
2026-07-19,150785,9,43631439,Drew Rasmussen,SP,P,TB,9000,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
2026-07-19,150785,9,43631038,Sonny Gray,SP,P,BOS,8800,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
2026-07-19,150785,9,43631440,Ranger Suarez,SP,P,BOS,8800,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
2026-07-19,150785,9,43631040,Kyle Bradish,SP,P,BAL,8500,BAL@HOU 07/19/2026 02:10PM ET,new_player,,,,,
2026-07-19,150785,9,43631446,Gavin Williams,SP,P,CLE,8500,PIT@CLE 07/19/2026 01:40PM ET,new_player,,,,,
2026-07-19,150785,9,43631447,Parker Messick,SP,P,CLE,8500,PIT@CLE 07/19/2026 01:40PM ET,new_player,,,,,
2026-07-19,150785,9,43631452,Jake Bennett,SP,P,BOS,8300,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
2026-07-19,150785,9,43631453,Connelly Early,SP,P,BOS,8300,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
2026-07-19,150785,9,43631454,Payton Tolle,SP,P,BOS,8300,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
2026-07-19,150785,9,43631456,Pablo Lopez,SP,P,MIN,8100,MIN@CHC 07/19/2026 02:20PM ET,new_player,,,,,
2026-07-19,150785,9,43631042,Shane McClanahan,SP,P,TB,8000,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
2026-07-19,150785,9,43631459,Ian Seymour,RP,P,TB,8000,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
2026-07-19,150785,9,43631462,Griffin Jax,RP,P,TB,8000,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
2026-07-19,150785,9,43631463,Joe Boyle,RP,P,TB,8000,TB@BOS 07/19/2026 01:35PM ET,new_player,,,,,
