slateDate,draftGroupId,contestTypeId,dkPlayerId,dkName,position,rosterPosition,teamAbbrev,salary,gameInfo,reviewReason,mapAliasName,mapTeamAbbrev,mapMlbamId,mapMlbName,mapMatchedTeams
2026-09-11,153340,9,44099944,Cam Schlittler,SP,P,NYY,11700,NYM@NYY 09/11/2026 07:05PM ET,new_player,,,,,
2026-09-11,153340,9,44099333,Blake Snell,SP,P,LAD,10700,LAD@MIA 09/11/2026 07:10PM ET,new_player,,,,,
2026-09-11,153340,9,44099947,Yoshinobu Yamamoto,SP,P,LAD,10700,LAD@MIA 09/11/2026 07:10PM ET,new_player,,,,,
2026-09-11,153340,9,44099948,Tarik Skubal,SP,P,LAD,10700,LAD@MIA 09/11/2026 07:10PM ET,team_change_new_alias,Tarik Skubal,DET,669373,Tarik Skubal,DET
2026-09-11,153340,9,44099334,Parker Messick,SP,P,CLE,10200,CLE@MIN 09/11/2026 08:10PM ET,new_player,,,,,
2026-09-11,153340,9,44099951,Tyler Glasnow,SP,P,LAD,10200,LAD@MIA 09/11/2026 07:10PM ET,new_player,,,,,
2026-09-11,153340,9,44099953,Gavin Williams,SP,P,CLE,10200,CLE@MIN 09/11/2026 08:10PM ET,new_player,,,,,
2026-09-11,153340,9,44099954,Gerrit Cole,SP,P,NYY,9700,NYM@NYY 09/11/2026 07:05PM ET,new_player,,,,,
2026-09-11,153340,9,44099337,Drew Rasmussen,SP,P,TB,9200,HOU@TB 09/11/2026 07:10PM ET,new_player,,,,,
2026-09-11,153340,9,44099957,Logan Gilbert,SP,P,SEA,9200,SEA@ATH 09/11/2026 09:40PM ET,new_player,,,,,
2026-09-11,153340,9,44099338,Sonny Gray,SP,P,BOS,9000,KC@BOS 09/11/2026 07:10PM ET,new_player,,,,,
2026-09-11,153340,9,44099958,Garrett Crochet,SP,P,BOS,9000,KC@BOS 09/11/2026 07:10PM ET,new_player,,,,,
2026-09-11,153340,9,44099959,Payton Tolle,SP,P,BOS,9000,KC@BOS 09/11/2026 07:10PM ET,new_player,,,,,
2026-09-11,153340,9,44099339,Carlos Rodon,SP,P,NYY,8700,NYM@NYY 09/11/2026 07:05PM ET,new_player,,,,,
2026-09-11,153340,9,44099966,Max Fried,SP,P,NYY,8700,NYM@NYY 09/11/2026 07:05PM ET,new_player,,,,,
