slateDate,draftGroupId,contestTypeId,dkPlayerId,dkName,position,rosterPosition,teamAbbrev,salary,gameInfo,reviewReason,mapAliasName,mapTeamAbbrev,mapMlbamId,mapMlbName,mapMatchedTeams
2026-06-24,149720,9,43360815,Shohei Ohtani,SP,P,LAD,11500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361152,Tyler Glasnow,SP,P,LAD,10500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361154,Yoshinobu Yamamoto,SP,P,LAD,10500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361160,Blake Snell,SP,P,LAD,9500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361173,Justin Wrobleski,SP,P,LAD,8500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361174,Corbin Burnes,SP,P,ARI,8500,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
2026-06-24,149720,9,43361194,Eduardo Rodriguez,SP,P,ARI,7700,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
2026-06-24,149720,9,43361195,Michael Soroka,SP,P,ARI,7700,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
2026-06-24,149720,9,43361202,Emmet Sheehan,SP,P,LAD,7500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361203,Roki Sasaki,SP,P,LAD,7500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361217,Pablo Lopez,SP,P,MIN,6900,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361239,Gavin Stone,SP,P,LAD,6500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361240,River Ryan,SP,P,LAD,6500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43360828,Kohl Drake,RP,P,ARI,6000,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
2026-06-24,149720,9,43361276,Ryne Nelson,SP,P,ARI,6000,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
2026-06-24,149720,9,43361277,Thomas Hatch,RP,P,ARI,6000,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
2026-06-24,149720,9,43361278,Brandon Pfaadt,SP,P,ARI,6000,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
2026-06-24,149720,9,43361279,Zac Gallen,SP,P,ARI,6000,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
2026-06-24,149720,9,43361280,Merrill Kelly,SP,P,ARI,6000,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
2026-06-24,149720,9,43361282,Marco Raya,SP,P,MIN,5900,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361284,David Festa,SP,P,MIN,5900,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361300,Bobby Miller,SP,P,LAD,5500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361301,Landon Knack,SP,P,LAD,5500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361302,Eric Lauer,RP,P,LAD,5500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43361303,Chayce McDermott,RP,P,LAD,5500,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43360837,Corbin Carroll,OF,OF,ARI,5500,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
2026-06-24,149720,9,43360839,Freddie Freeman,1B,1B,LAD,5300,LAD@MIN 06/24/2026 07:40PM ET,new_player,,,,,
2026-06-24,149720,9,43360842,Ketel Marte,2B,2B,ARI,5100,ARI@STL 06/24/2026 07:45PM ET,new_player,,,,,
