captureDate,capturedAtUtc,slateDate,source,sourceUrl,draftGroupId,contestTypeId,selectionReason,position,namePlusId,dkName,dkPlayerId,rosterPosition,salary,gameInfo,gameDateTimeEt,teamAbbrev,opponent,homeAway,avgPointsPerGame,mlbamId,mlbName,joinStatus,joinMethod,joinNote
2026-08-03,2026-08-03T16:04:44.087591+00:00,2026-08-03,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=151659,151659,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Jacob Misiorowski (43742517),Jacob Misiorowski,43742517,P,12000,PIT@MIL 08/03/2026 07:40PM ET,08/03/2026 07:40PM ET,MIL,PIT,home,29.4,694819,Jacob Misiorowski,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-08-03,2026-08-03T16:04:44.087591+00:00,2026-08-03,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=151659,151659,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Cam Schlittler (43742177),Cam Schlittler,43742177,P,11500,STL@NYY 08/03/2026 07:05PM ET,08/03/2026 07:05PM ET,NYY,STL,home,23.4,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-08-03,2026-08-03T16:04:44.087591+00:00,2026-08-03,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=151659,151659,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Tarik Skubal (43742518),Tarik Skubal,43742518,P,11500,LAD@CHC 08/03/2026 08:05PM ET,08/03/2026 08:05PM ET,LAD,CHC,away,22.6,669373,Tarik Skubal,needs_review_team_change,identity_name_unique_mlbam,Name maps to one reviewed MLBAM identity but not this DK team; review as team-change/new alias before trusting automation.
2026-08-03,2026-08-03T16:04:44.087591+00:00,2026-08-03,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=151659,151659,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Tyler Glasnow (43742519),Tyler Glasnow,43742519,P,11000,LAD@CHC 08/03/2026 08:05PM ET,08/03/2026 08:05PM ET,LAD,CHC,away,22.2,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-08-03,2026-08-03T16:04:44.087591+00:00,2026-08-03,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=151659,151659,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Dylan Cease (43742520),Dylan Cease,43742520,P,10800,TOR@HOU 08/03/2026 08:10PM ET,08/03/2026 08:10PM ET,TOR,HOU,away,25.3,656302,Dylan Cease,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-08-03,2026-08-03T16:04:44.087591+00:00,2026-08-03,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=151659,151659,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Yoshinobu Yamamoto (43742521),Yoshinobu Yamamoto,43742521,P,10500,LAD@CHC 08/03/2026 08:05PM ET,08/03/2026 08:05PM ET,LAD,CHC,away,21.7,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-08-03,2026-08-03T16:04:44.087591+00:00,2026-08-03,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=151659,151659,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Jacob deGrom (43742522),Jacob deGrom,43742522,P,10000,SF@TEX 08/03/2026 08:05PM ET,08/03/2026 08:05PM ET,TEX,SF,home,17.9,594798,Jacob deGrom,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-08-03,2026-08-03T16:04:44.087591+00:00,2026-08-03,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=151659,151659,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Paul Skenes (43742523),Paul Skenes,43742523,P,9600,PIT@MIL 08/03/2026 07:40PM ET,08/03/2026 07:40PM ET,PIT,MIL,away,18.5,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
2026-08-03,2026-08-03T16:04:44.087591+00:00,2026-08-03,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=151659,151659,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Logan Webb (43742178),Logan Webb,43742178,P,9500,SF@TEX 08/03/2026 08:05PM ET,08/03/2026 08:05PM ET,SF,TEX,away,15.3,657277,Logan Webb,mapped,identity_name_team_map,Stable identity seed from old DK-ID map. Pilot join status: matched via normalized_name_team
2026-08-03,2026-08-03T16:04:44.087591+00:00,2026-08-03,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=151659,151659,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Gerrit Cole (43742524),Gerrit Cole,43742524,P,9500,STL@NYY 08/03/2026 07:05PM ET,08/03/2026 07:05PM ET,NYY,STL,home,18.2,,,needs_review_new_player,identity_name_team_map,No reviewed normalized-name/team identity alias; do not auto-guess.
