slateDate,draftGroupId,contestTypeId,dkPlayerId,dkName,position,rosterPosition,teamAbbrev,salary,gameInfo,reviewReason,mapAliasName,mapTeamAbbrev,mapMlbamId,mapMlbName,mapMatchedTeams
2026-09-07,153178,9,44054168,Payton Tolle,SP,P,BOS,9900,LAA@BOS 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054169,Parker Messick,SP,P,CLE,9800,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054170,Gavin Williams,SP,P,CLE,9800,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054173,Garrett Crochet,SP,P,BOS,9400,LAA@BOS 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054174,Sonny Gray,SP,P,BOS,8900,LAA@BOS 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054175,Ranger Suarez,SP,P,BOS,8900,LAA@BOS 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054179,Kevin Gausman,SP,P,CHC,8600,CHC@MIL 09/07/2026 02:10PM ET,team_change_new_alias,Kevin Gausman,TOR,592332,Kevin Gausman,TOR
2026-09-07,153178,9,44053877,Trevor Rogers,SP,P,BAL,8300,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054185,Shane Baz,SP,P,BAL,8300,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054186,Zach Eflin,SP,P,BAL,8300,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054188,Corbin Burnes,SP,P,ARI,8000,ARI@KC 09/07/2026 02:10PM ET,new_player,,,,,
2026-09-07,153178,9,44054189,Michael Soroka,SP,P,ARI,8000,ARI@KC 09/07/2026 02:10PM ET,new_player,,,,,
2026-09-07,153178,9,44054190,Eduardo Rodriguez,SP,P,ARI,8000,ARI@KC 09/07/2026 02:10PM ET,new_player,,,,,
2026-09-07,153178,9,44054193,Jake Bennett,SP,P,BOS,7900,LAA@BOS 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44053879,Joey Cantillo,SP,P,CLE,7800,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054194,Foster Griffin,SP,P,CLE,7800,CLE@BAL 09/07/2026 01:35PM ET,team_change_new_alias,Foster Griffin,WSH,656492,Foster Griffin,WSH
2026-09-07,153178,9,44054195,Tanner Bibee,SP,P,CLE,7800,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054197,Slade Cecconi,SP,P,CLE,7800,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054201,Clay Holmes,RP,P,CHC,7600,CHC@MIL 09/07/2026 02:10PM ET,team_change_new_alias,Clay Holmes,NYM,605280,Clay Holmes,NYM
2026-09-07,153178,9,44054204,Zac Thornton,SP,P,NYM,7500,NYM@MIA 09/07/2026 01:10PM ET,new_player,,,,,
2026-09-07,153178,9,44054211,Dustin May,SP,P,MIL,7400,CHC@MIL 09/07/2026 02:10PM ET,team_change_new_alias,Dustin May,STL,669160,Dustin May,STL
2026-09-07,153178,9,44054212,Albert Suarez,RP,P,BAL,7300,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054213,Cade Povich,SP,P,BAL,7300,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054214,Brandon Young,SP,P,BAL,7300,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054215,Kyle Bradish,SP,P,BAL,7300,CLE@BAL 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054216,Tyler Mahle,SP,P,ATL,7200,ATL@PHI 09/07/2026 01:05PM ET,team_change_new_alias,Tyler Mahle,SF,641816,Tyler Mahle,SF
2026-09-07,153178,9,44054220,Brandon Pfaadt,SP,P,ARI,7000,ARI@KC 09/07/2026 02:10PM ET,new_player,,,,,
2026-09-07,153178,9,44054222,Tony Gonsolin,SP,P,KC,7000,ARI@KC 09/07/2026 02:10PM ET,new_player,,,,,
2026-09-07,153178,9,44054223,Randy Dobnak,RP,P,KC,7000,ARI@KC 09/07/2026 02:10PM ET,new_player,,,,,
2026-09-07,153178,9,44053883,Patrick Sandoval,SP,P,BOS,6900,LAA@BOS 09/07/2026 01:35PM ET,new_player,,,,,
2026-09-07,153178,9,44054225,Brayan Bello,SP,P,BOS,6900,LAA@BOS 09/07/2026 01:35PM ET,new_player,,,,,
